"ASN","Entity"
"31715","GB | CloudIP LLC"
"31797","US | Galaxyvisions Inc"
"31807","US | CLEARSURF BROADBAND"
"31863","DACEN-2 - Centrilogic, Inc., US"
"31898","Oracle Corporation"
"31981","BlueTower Hosting LLC"
"32087","DEDICATED-HOSTING-BIZ-INC - DEDICATED-HOSTING.BIZ INC"
"32097","WII-KC - WholeSale Internet, Inc., US"
"32105","Cloud Sync Inc"
"32177","US | XEEX-COMMUNICATIONS"
"32181","ASN-GIGENET - GigeNET, US"
"32241","ACPANA - HostPapa"
"32244","LIQUID-WEB-INC - Liquid Web, L.L.C, US"
"32275","Unified Webhosting, LLC"
"32306","Host NIT Inc"
"32311","US | JKS-ASN - JKS Media, LLC"
"32338","Hostiserver Ltd"
"32400","Hostway Services, Inc."
"32475","SINGLEHOP-LLC - SingleHop, Inc., US"
"32489","AMANAHA-NEW - Amanah Tech Inc., CA"
"32579","US | ETG-AS - eVolution Technology Group, LLC.,US"
"32613","IWEB-AS - iWeb Technologies Inc., CA"
"32647","Crucial Web Hosting, Ltd."
"32676","TierPoint, LLC"
"32714","ZA | Compute Corporate Technology Solutions"
"32740","Sliqua Enterprise Hosting, Inc."
"32780","HOSTINGSERVICES-INC - Hosting Services, Inc., US"
"32804","Leaseweb Canada Inc. (iWeb Technologies)"
"32875","VIRPUS - Wowrack.com"
"32881","SERVERNORTH - Server North"
"32911","DediPower Managed Hosting"
"32959","US | LITEUP - LiteUp, Inc., US"
"32986","US | KEYDEV - Key Developments, LLC,US"
"32987","US | AS080780 - Clnetworks Inc, US"
"33070","Rackspace"
"33083","AXCELX-NET - AxcelX Technologies LLC, US"
"33182","DIMENOC - HostDime.com, Inc., US"
"33251","Windstream Hosted Solutions, LLC"
"33260","Hostasaurus, Inc."
"33302","ONS-COS - Data 102, LLC, US"
"33322","Network Data Center Host, Inc."
"33330","CLOUDRADIUM-ASN - CloudRadium L.L.C, US"
"33333","PA | AWKNET-INC"
"33387","DATASHACK - DataShack, LC, US"
"33398","Miva Merchant, Inc. (HOSTA-LAS)"
"33438","HIGHWINDS2 - Highwinds Network Group, Inc., US"
"33475","US | RSN-1 - RockSolid Network, Inc."
"33480","WEBWERKSAS1 - Web Werks, US"
"33532","US | VOYAGETECHAS - Voyage Technologies, US"
"33552","Fluid Hosting LLC"
"33569","ALLHOSTSHOP.COM"
"33576","DIG001"
"33611","US | SBJ MEDIA LLC"
"33688","SE | SUMMITEIS-AS - SummitEIS"
"33693","TierPoint, LLC"
"33724","BIZNESSHOSTING - VOLICO, US"
"33785","CITYNET, EG"
"33891","CORE-BACKBONE, DE"
"33962","Citytelecom LLC (DataHouse-EKT)"
"33972","LLC MASTERHOST (MASTERHOST-AS)"
"33992","MASSRESPONSE-AS2 / Mass Response Service GmbH"
"33993","UFO Hosting LLC"
"34012","WorldStream B.V."
"34109","DE | AS34109 CB3ROB Ltd."
"34202","CLOUVIDER-THN2 Clouvider Limited"
"34224","Neterra Ltd (NETERRA-AS)"
"34282","UKNOC-AS (team.blue / Simply group)"
"34305","BASEIP, NL"
"34358","Cyber_Folks-RO-DC_FLO Cyber_Folks SRL"
"34360","OGICOM Cyber_Folks S.A."
"34432","Profihost AG"
"34535","RIGA (Standart AG, LLC)"
"34541","Online Solutions Hosting Services"
"34566","artnet Artnet Sp. z o.o."
"34570","DATALINE-34570-AS"
"34636","Asiatech Data Transmission company (Laser-AS)"
"34643","WPS-AS"
"34649","HOST365 LIMITED"
"34665","Petersburg Internet Network ltd (PINDC-AS)"
"34745","TeleWare Hosted Services Ltd."
"34766","Layer23 / atom86 BV"
"34787","LYAKH-AS - GREEN FLOID LLC"
"34800","SBAG Securebit AG"
"34899","GHOSTnet GmbH (NEWCOLO-AS / newcolo.de)"
"34920","Simply-Romford (team.blue / Simply group)"
"34940","GCI Network Solutions Limited (Vesk)"
"34959","PROCLOUD MSK"
"34971","PDDA-AS, CZ"
"34989","SERVETHEWORLD-AS, NO"
"34991","BG | WNS-AS, BG"
"35017","SWIFTWAY-AS Netherlands, GB"
"35219","VERIXI BELGIUM"
"35278","SPRINTHOST.RU LLC"
"35295","PeterHost.Ru Hosting Provider at SPb"
"35297","UA | Dataline LLC"
"35346","SC ITNS.NET SRL (EUROTELECOM)"
